Article Number,Title,Status,File Path,Meta Title,Meta Description,H1 Headline,Internal Links (from this article),Internal Links (to this article),Date Completed,Word Count
1,Warum dein Darm die 60g-Grenze nicht kennt – Kohlenhydrat-Absorption unter Belastung erklärt,completed,articles/article-01-warum-dein-darm-die-60g-grenze-nicht-kennt.md,60g Kohlenhydrate überwinden | Darm trainieren,"Die 60g-Grenze ist trainierbar. Elite-Athleten erreichen 120g+ durch systematisches Gut-Training. Erfahre, wie dein Darm mehr aufnimmt.",Warum dein Darm die 60g-Grenze nicht kennt,"2, 3, 13","-",2025-12-20,850
2,SGLT1 und GLUT5: Die limitierenden Faktoren deiner Wettkampf-Performance,completed,articles/article-02-sglt1-und-glut5.md,SGLT1 & GLUT5 Transporter | Kohlenhydrat-Absorption,"Zwei Transporter-Systeme verdoppeln deine Aufnahmekapazität. Verstehe SGLT1 und GLUT5 für optimale Wettkampf-Performance.",SGLT1 und GLUT5: Die limitierenden Faktoren deiner Wettkampf-Performance,"1, 3, 4","-",2025-12-20,920
3,Kohlenhydrat-Oxidation im Ausdauersport: Was limitiert dich wirklich?,completed,articles/article-03-kohlenhydrat-oxidation-im-ausdauersport.md,Kohlenhydrat-Oxidation vs. Absorption | Darm-Limit,"Dein Muskel kann 120g/h oxidieren. Aber dein Darm absorbiert nur 60g. Verstehe den limitierenden Faktor deiner Performance.",Kohlenhydrat-Oxidation im Ausdauersport: Was limitiert dich wirklich?,"1, 2, 5","-",2025-12-20,880
4,Magenprobleme im Wettkampf? Dein Darm ist nicht trainiert – so änderst du das,completed,articles/article-04-magenprobleme-im-wettkampf.md,Magenprobleme Wettkampf lösen | GI-Distress,"GI-Distress ist trainierbar. 8-12 Wochen Gut-Training reduzieren Symptome um 50-70%. Schluss mit Übelkeit und Krämpfen.",Magenprobleme im Wettkampf? Dein Darm ist nicht trainiert,"5, 6, 13","-",2025-12-20,1050
5,Du trinkst genug isst genug – und brichst trotzdem ein: Das Absorptions-Problem,completed,articles/article-05-du-trinkst-genug-isst-genug.md,Energieeinbruch trotz Ernährung | Absorption,"Viel essen ≠ viel Energie. Wenn dein Darm nur 40g von 60g absorbiert, fehlt dir Performance. Verstehe das Absorptions-Problem.",Du trinkst genug isst genug – und brichst trotzdem ein: Das Absorptions-Problem,"4, 6, 13","-",2025-12-20,950
6,Warum du im Training anders verdaust als im Wettkampf,completed,articles/article-06-warum-du-im-training-anders-verdaust.md,Training vs. Wettkampf Verdauung | Stress-Effekt,"Sympathikus reduziert Darm-Durchblutung um 50-70%. Warum Grundlagentraining nicht Wettkampf-Realität abbildet.",Warum du im Training anders verdaust als im Wettkampf,"4, 5, 15","-",2025-12-20,1020
7,5-10 Minuten schneller im Ironman: Die unterschätzte Variable Kohlenhydrat-Absorption,completed,articles/article-07-5-10-minuten-schneller-im-ironman.md,Ironman schneller durch Gut-Training | 5-10 Minuten,"Gut-Training bringt 5-10 Min im Ironman. Besser als Aero-Upgrades. Berechne deinen ROI für optimierte Kohlenhydrat-Absorption.",5-10 Minuten schneller im Ironman: Die unterschätzte Variable Kohlenhydrat-Absorption,"8, 9, 10, 1, 13","-",2025-12-20,1080
8,120g Kohlenhydrate pro Stunde – ohne Magenprobleme: Der strukturierte Weg dorthin,completed,articles/article-08-120g-kohlenhydrate-pro-stunde.md,120g/h Kohlenhydrate erreichen | Progression,"Von 60g auf 120g in 8-12 Wochen. Strukturierte Progression ohne GI-Distress. Elite-Level für ambitionierte Athleten.",120g Kohlenhydrate pro Stunde – ohne Magenprobleme: Der strukturierte Weg dorthin,"7, 9, 12, 13, 2","-",2025-12-20,1150
9,Mehr Energie ≠ mehr Performance: Warum Absorption der Schlüssel ist,completed,articles/article-09-mehr-energie-nicht-mehr-performance.md,Absorption vs. Aufnahme | Performance-Tool,"Mehr essen ≠ mehr Energie. Nur was absorbiert wird, generiert Performance. Gut-Training ist Performance-Tool, nicht Ernährung.",Mehr Energie ≠ mehr Performance: Warum Absorption der Schlüssel ist,"7, 8, 11, 3, 13","-",2025-12-20,1020
10,Gut-Training für Radfahrer: Warum du auf dem Bike 140g/h tolerieren kannst,completed,articles/article-10-gut-training-fuer-radfahrer.md,140g/h Rad-Nutrition | Cycling Gut-Training,"Radfahren = einfachste Disziplin für High-Carb. Biomechanische Vorteile ermöglichen 140g/h. Strukturierter Weg für Radsportler.",Gut-Training für Radfahrer: Warum du auf dem Bike 140g/h tolerieren kannst,"11, 12, 8, 13, 1","-",2025-12-20,1090
